1.424,0.470,0.329,4.045,27.134,15.983,2.099
1.454,2.470,0.330,18.776,26.564,15.602,2.271
1.484,2.773,0.330,18.911,27.525,15.800,2.246
1.514,3.079,0.331,19.510,27.368,15.815,2.303
1.544,3.377,0.332,19.868,27.966,15.696,2.429
1.574,3.596,0.333,20.143,27.044,15.824,2.408
1.604,3.839,0.334,19.931,27.497,16.155,2.422
1.634,4.036,0.335,20.211,27.447,16.179,2.577
1.664,4.381,0.337,21.113,27.481,16.364,2.669
1.694,4.665,0.338,21.219,27.982,16.340,2.903
1.724,5.372,0.340,22.341,28.154,16.757,3.035
1.754,5.963,0.341,23.436,28.154,17.608,3.697
1.784,6.785,0.342,25.235,29.097,18.300,4.290
1.814,7.294,0.344,26.144,28.664,18.230,4.672
1.844,7.924,0.345,27.081,28.713,18.653,5.084
1.874,8.492,0.347,28.271,29.208,18.918,5.489
1.904,8.736,0.348,28.188,29.189,18.994,5.640
