1.424,0.230,0.329,2.920,28.334,17.611,1.993
1.454,1.056,0.330,11.679,27.010,16.222,2.234
1.484,1.188,0.330,11.459,26.853,16.450,2.196
1.514,1.353,0.331,12.128,27.873,16.156,2.260
1.544,1.520,0.332,12.549,28.008,16.270,2.369
1.574,1.676,0.333,13.061,27.783,16.857,2.458
1.604,1.876,0.334,13.658,27.738,16.711,2.593
1.634,2.054,0.335,14.030,28.444,17.003,2.678
1.664,2.271,0.337,14.661,28.613,17.722,2.908
1.694,2.438,0.338,15.072,28.183,17.173,3.097
1.724,2.788,0.340,15.436,29.153,17.860,3.465
1.754,3.484,0.341,17.844,29.307,18.736,4.357
1.784,4.052,0.342,19.549,29.520,18.956,4.983
1.814,4.519,0.344,20.783,29.053,19.140,5.557
1.844,5.046,0.345,22.161,29.169,19.801,6.026
1.874,5.440,0.347,23.124,29.435,20.009,6.443
1.904,5.765,0.348,23.552,29.882,20.754,6.840
