1.424,0.934,0.329,5.428,0.108,0.106,2.142
1.454,3.442,0.330,17.828,0.108,0.107,2.296
1.484,3.837,0.330,18.076,0.107,0.108,2.273
1.514,4.228,0.331,18.505,0.108,0.109,2.344
1.544,4.550,0.332,18.668,0.109,0.108,2.356
1.574,4.917,0.333,19.142,0.108,0.108,2.368
1.604,5.174,0.334,19.234,0.108,0.108,2.425
1.634,5.332,0.335,19.080,0.109,0.109,2.505
1.664,5.750,0.337,19.613,0.109,0.110,2.663
1.694,5.919,0.338,19.636,0.110,0.110,2.713
1.724,6.679,0.340,20.431,0.110,0.110,2.818
1.754,7.150,0.341,20.585,0.111,0.109,2.953
1.784,7.602,0.342,21.080,0.112,0.111,3.119
1.814,7.944,0.344,21.188,0.111,0.111,3.229
1.844,8.485,0.345,21.961,0.112,0.112,3.365
1.874,8.732,0.347,22.004,0.112,0.112,3.523
1.904,9.092,0.348,22.263,0.112,0.112,3.693
1.934,9.375,0.350,22.408,0.112,0.113,3.826
1.964,9.759,0.352,22.772,0.114,0.113,3.972
1.994,10.045,0.354,22.799,0.113,0.113,4.072
2.024,10.465,0.356,23.321,0.113,0.114,4.247
2.054,10.702,0.358,23.248,0.114,0.114,4.384
2.084,11.078,0.360,23.576,0.115,0.115,4.599
