1.424,0.527,0.329,3.052,27.630,17.013,2.261
1.454,3.492,0.330,17.939,27.348,15.589,2.245
1.484,3.893,0.330,18.203,27.068,15.608,2.311
1.514,4.309,0.331,18.738,26.862,15.570,2.298
1.544,4.631,0.332,18.951,26.971,15.896,2.330
1.574,4.936,0.333,19.139,27.326,15.709,2.394
1.604,5.086,0.334,18.846,26.788,16.176,2.454
1.634,5.510,0.335,19.637,27.479,16.253,2.526
1.664,5.679,0.337,19.441,27.863,16.244,2.657
1.694,6.099,0.338,20.056,27.058,16.191,2.725
1.724,6.731,0.340,20.439,27.155,16.355,2.839
1.754,7.665,0.341,22.064,27.754,17.191,3.413
1.784,8.210,0.342,22.739,28.288,17.580,3.920
1.814,8.982,0.344,23.865,28.186,17.486,4.269
1.844,9.422,0.345,24.387,28.242,18.229,4.606
1.874,9.914,0.347,24.841,28.634,18.127,4.962
1.904,10.448,0.348,25.577,28.859,18.623,5.325
