1.424,0.434,0.329,2.574,27.642,18.134,2.223
1.454,3.099,0.330,16.131,27.142,16.135,2.318
1.484,3.465,0.330,16.488,27.318,15.740,2.324
1.514,3.745,0.331,16.628,27.590,15.704,2.323
1.544,3.943,0.332,16.432,27.668,16.030,2.459
1.574,4.235,0.333,16.601,27.259,16.421,2.415
1.604,4.510,0.334,16.827,27.313,16.034,2.467
1.634,4.856,0.335,17.447,27.013,15.950,2.505
1.664,5.175,0.337,17.746,27.155,16.699,2.682
1.694,5.406,0.338,17.975,27.582,16.474,2.705
1.724,6.042,0.340,18.474,27.335,16.331,2.897
1.754,6.831,0.341,19.746,28.431,17.296,3.557
1.784,7.461,0.342,20.810,28.426,17.874,4.103
1.814,7.994,0.344,21.415,28.455,18.396,4.476
1.844,8.616,0.345,22.281,28.445,18.068,4.719
1.874,8.910,0.347,22.615,28.849,18.703,5.120
1.904,9.502,0.348,23.355,28.809,18.829,5.360
