1.424,0.663,0.329,3.864,0.016,0.016,0.016,2.213
1.454,2.234,0.330,11.385,0.017,0.017,0.017,2.290
1.484,2.507,0.330,11.719,0.017,0.017,0.017,2.250
1.514,2.628,0.331,11.509,0.016,0.017,0.017,2.344
1.544,2.814,0.332,11.584,0.017,0.017,0.017,2.386
1.574,3.036,0.333,11.867,0.017,0.017,0.017,2.427
1.604,3.320,0.334,12.200,0.017,0.018,0.018,2.519
1.634,3.501,0.335,12.454,0.018,0.018,0.018,2.691
1.664,3.764,0.337,12.908,0.018,0.018,0.019,2.837
1.694,4.003,0.338,13.251,0.019,0.019,0.019,3.041
1.724,4.491,0.340,13.606,0.019,0.019,0.020,3.144
1.754,4.686,0.341,13.469,0.020,0.020,0.020,3.395
1.784,5.023,0.342,13.894,0.021,0.020,0.021,3.587
1.814,5.324,0.344,14.211,0.021,0.021,0.022,3.785
1.844,5.616,0.345,14.463,0.022,0.021,0.022,4.024
1.874,5.948,0.347,14.818,0.022,0.022,0.023,4.204
1.904,6.098,0.348,14.885,0.022,0.022,0.023,4.448
1.934,6.315,0.350,15.042,0.023,0.023,0.024,4.605
1.964,6.650,0.352,15.462,0.023,0.023,0.024,4.728
1.994,6.888,0.354,15.638,0.024,0.024,0.025,4.997
2.024,7.203,0.356,15.988,0.024,0.024,0.025,5.110
2.054,7.403,0.358,16.056,0.025,0.025,0.026,5.348
2.084,7.837,0.360,16.633,0.026,0.025,0.026,5.635
