1.424,0.507,0.329,4.376,0.017,0.016,0.016,2.220
1.454,1.470,0.330,10.986,0.016,0.016,0.016,2.218
1.484,1.649,0.330,11.281,0.016,0.016,0.017,2.254
1.514,1.833,0.331,11.515,0.016,0.017,0.017,2.349
1.544,1.944,0.332,11.504,0.017,0.017,0.017,2.355
1.574,2.216,0.333,12.257,0.017,0.017,0.017,2.484
1.604,2.317,0.334,12.103,0.018,0.018,0.018,2.614
1.634,2.443,0.335,12.225,0.018,0.018,0.018,2.757
1.664,2.572,0.337,12.262,0.019,0.018,0.019,2.947
1.694,2.861,0.338,13.145,0.020,0.019,0.020,3.234
1.724,3.188,0.340,13.329,0.020,0.020,0.021,3.573
1.754,3.531,0.341,13.812,0.021,0.021,0.021,3.750
1.784,3.716,0.342,13.824,0.021,0.021,0.022,3.964
1.814,4.035,0.344,14.401,0.022,0.022,0.023,4.266
1.844,4.208,0.345,14.402,0.023,0.023,0.024,4.566
1.874,4.364,0.347,14.448,0.023,0.023,0.024,4.791
1.904,4.540,0.348,14.522,0.025,0.024,0.025,5.028
